Time,Pitch,Roll
2,-0.0607305,0.14886
10,-0.231807,0.138689
18,-0.38852,0.131659
27,-0.5289,0.134117
35,-0.680541,0.133793
44,-0.831683,0.137287
53,-0.979884,0.145995
62,-1.13588,0.146674
70,-1.2674,0.145766
82,-1.38745,0.145604
89,-1.51714,0.144635
96,-1.63777,0.147363
104,-1.74705,0.137771
111,-1.87768,0.147702
119,-1.99641,0.141311
127,-2.10276,0.122498
136,-2.18812,0.123712
143,-2.29212,0.119426
151,-2.38387,0.119603
159,-2.45316,0.113845
168,-2.53837,0.110247
181,-2.63654,0.132293
190,-2.7317,0.125524
198,-2.81509,0.121573
206,-2.88767,0.123905
215,-2.97925,0.11663
224,-3.0709,0.124087
232,-3.1477,0.103301
241,-3.22157,0.0979015
249,-3.29453,0.0853531
258,-3.36929,0.0882484
267,-3.44155,0.0772068
275,-3.52081,0.0828163
284,-3.57667,0.0946923
293,-3.64595,0.103621
301,-3.70992,0.10875
310,-3.76153,0.106666
319,-3.82714,0.0943836
327,-3.86257,0.101698
336,-3.94235,0.107397
344,-3.99066,0.113636
353,-4.05271,0.128246
362,-4.08779,0.118137
370,-4.12622,0.126791
379,-4.17803,0.139259
387,-4.22031,0.139526
396,-4.27248,0.143482
404,-4.30349,0.128971
413,-4.35419,0.140159
422,-4.39611,0.142206
430,-4.43509,0.157742
442,-4.47875,0.151837
451,-4.49948,0.144785
459,-4.54456,0.137224
468,-4.57194,0.130538
477,-4.60596,0.129297
486,-4.63988,0.136891
495,-4.66949,0.129194
503,-4.68979,0.123999
512,-4.73918,0.133833
521,-4.76974,0.139322
529,-4.7942,0.134081
538,-4.81283,0.129454
547,-4.83355,0.125765
555,-4.87105,0.139009
564,-4.9034,0.137622
572,-4.91473,0.146431
581,-4.93684,0.154441
590,-4.95348,0.139526
598,-4.96321,0.139034
607,-4.97002,0.14273
615,-4.99051,0.137409
624,-4.98896,0.145843
632,-5.01634,0.167062
641,-5.04721,0.16757
649,-5.06819,0.174566
658,-5.07313,0.167033
667,-5.09877,0.175224
675,-5.11515,0.162336
684,-5.13701,0.14337
692,-5.16206,0.162876
701,-5.17911,0.159008
709,-5.19294,0.152521
718,-5.211,0.160748
728,-5.24025,0.157149
736,-5.24493,0.162037
745,-5.26011,0.159335
754,-5.26874,0.160503
762,-5.29504,0.161984
771,-5.30543,0.169696
780,-5.3122,0.148594
788,-5.31899,0.128803
797,-5.32094,0.123997
806,-5.32287,0.112556
814,-5.31391,0.127197
827,-5.31815,0.131467
835,-5.32406,0.124382
844,-5.34477,0.123917
852,-5.36713,0.121735
861,-5.38683,0.131441
870,-5.41143,0.122875
878,-5.44055,0.135474
887,-5.45156,0.143216
896,-5.4436,0.152707
904,-5.45012,0.167213
913,-5.4564,0.168558
921,-5.45631,0.175217
930,-5.45253,0.160738
939,-5.4638,0.166452
947,-5.48554,0.18135
956,-5.48173,0.184983
965,-5.50569,0.178095
973,-5.52553,0.178047
982,-5.54041,0.200018
990,-5.55406,0.19014
999,-5.57548,0.197995
1009,-5.57323,0.199163
1017,-5.58193,0.19153
1024,-5.576,0.192849
1032,-5.5641,0.189327
1040,-5.55565,0.176819
1047,-5.53562,0.17307
1055,-5.51779,0.168108
1062,-5.50294,0.161
1070,-5.50309,0.154779
1077,-5.50411,0.155131
1085,-5.48649,0.162494
1093,-5.50626,0.168022
1100,-5.5047,0.154862
1108,-5.49505,0.122873
1115,-5.51302,0.118133
1123,-5.50981,0.126556
1130,-5.50114,0.133763
1137,-5.50985,0.141557
1145,-5.50373,0.141007
1152,-5.49394,0.142326
1160,-5.49235,0.126677
1168,-5.49263,0.124859
1175,-5.47302,0.13689
1183,-5.44842,0.139247
1190,-5.44898,0.144877
1198,-5.45777,0.146693
1205,-5.46566,0.144151
1213,-5.47902,0.144347
1220,-5.48736,0.161788
1228,-5.48865,0.160005
1235,-5.47988,0.162381
1243,-5.47742,0.173432
1251,-5.48406,0.179937
1258,-5.45719,0.174985
1266,-5.42744,0.170331
1274,-5.41796,0.165815
1281,-5.40106,0.162894
1289,-5.39432,0.166363
1296,-5.40056,0.158952
1304,-5.39775,0.162617
1311,-5.37644,0.152865
1319,-5.39093,0.165111
1326,-5.39666,0.168951
1334,-5.40263,0.162569
1341,-5.40867,0.171922
1349,-5.41003,0.17476
1357,-5.42374,0.167395
1364,-5.43065,0.167659
1372,-5.43357,0.174046
1379,-5.44497,0.162269
1387,-5.44432,0.147549
