Sample,Pitch
0,-5.08045
1,-4.84656
2,-4.66544
3,-4.49564
4,-4.31859
5,-4.15433
6,-4.01165
7,-3.88559
8,-3.76636
9,-3.64569
10,-3.51594
11,-3.41161
12,-3.31563
13,-3.19385
14,-3.11231
15,-3.03317
16,-2.9548
17,-2.87981
18,-2.82157
19,-2.73395
20,-2.69107
21,-2.60561
22,-2.58147
23,-2.54561
24,-2.51277
25,-2.46145
26,-2.40245
27,-2.37289
28,-2.3274
29,-2.28414
30,-2.24883
31,-2.2172
32,-2.1582
33,-2.14768
34,-2.11693
35,-2.0726
36,-2.06017
37,-2.03712
38,-2.01097
39,-1.98232
40,-1.94305
41,-1.93415
42,-1.92152
43,-1.90381
44,-1.86409
45,-1.83728
46,-1.8135
47,-1.80821
48,-1.77594
49,-1.76189
50,-1.73655
51,-1.71903
52,-1.70062
53,-1.67795
54,-1.65606
55,-1.61844
56,-1.61854
57,-1.60753
58,-1.59276
59,-1.57207
60,-1.58455
61,-1.57076
62,-1.57365
63,-1.57079
64,-1.57297
65,-1.55271
66,-1.56076
67,-1.53275
68,-1.53761
69,-1.52643
70,-1.52922
71,-1.50554
72,-1.50397
73,-1.50155
74,-1.50903
75,-1.48298
76,-1.47037
77,-1.44612
78,-1.44468
79,-1.44936
80,-1.4413
81,-1.42828
82,-1.42242
83,-1.43295
84,-1.42765
85,-1.42413
86,-1.41482
87,-1.42552
88,-1.4357
89,-1.43716
90,-1.40873
91,-1.39092
92,-1.38794
93,-1.38175
94,-1.36689
95,-1.35136
96,-1.36037
97,-1.36115
98,-1.36109
99,-1.37072
100,-1.35661
101,-1.34331
102,-1.33716
103,-1.32362
104,-1.3151
105,-1.31165
106,-1.30972
107,-1.28037
108,-1.26517
109,-1.24502
110,-1.24848
111,-1.24982
112,-1.23346
113,-1.22909
114,-1.20935
115,-1.19692
116,-1.18573
117,-1.18694
118,-1.1665
119,-1.17008
120,-1.15724
121,-1.17031
122,-1.16777
123,-1.18843
124,-1.18816
125,-1.19305
126,-1.1842
127,-1.18223
128,-1.16717
129,-1.17473
130,-1.15955
131,-1.169
132,-1.16108
133,-1.15701
134,-1.15448
135,-1.15513
136,-1.15516
137,-1.14741
138,-1.13694
139,-1.13459
140,-1.13073
141,-1.13953
142,-1.11288
143,-1.13221
144,-1.11109
145,-1.1196
146,-1.12424
147,-1.12937
148,-1.09969
149,-1.09643
150,-1.09535
151,-1.09772
152,-1.08853
153,-1.08608
154,-1.08665
155,-1.08717
