Time,Pitch,Error,dError,IntError,ControlSignal
14285,-5.00849,-3.18388,0,-0.00734319,0
14290,-4.78796,-2.96334,49.538,-0.0205356,0
14294,-4.61597,-2.79136,42.7553,-0.031764,0
14298,-4.45584,-2.63122,38.597,-0.0426806,0
14302,-4.30481,-2.4802,34.862,-0.0534252,0
14307,-4.18323,-2.35861,29.1209,-0.0632725,0
14312,-4.0782,-2.25359,19.8124,-0.0752186,0
14317,-3.95133,-2.12672,25.5491,-0.0857796,0
14322,-3.83797,-2.01336,22.3719,-0.0959814,0
14327,-3.73595,-1.91134,19.8127,-0.105823,0
14332,-3.66698,-1.84236,13.0719,-0.115545,0
14337,-3.59069,-1.76608,14.813,-0.12464,0
14343,-3.50415,-1.67953,16.3377,-0.133537,0
14352,-3.43584,-1.61123,7.4988,-0.148213,0
14357,-3.35301,-1.5284,16.702,-0.155793,0
14361,-3.28138,-1.45677,16.1258,-0.162263,0
14366,-3.20895,-1.38434,14.2646,-0.169292,0
14371,-3.13616,-1.31155,14.7722,-0.175755,0
14376,-3.06506,-1.24044,14.157,-0.181986,0
14381,-3.02608,-1.20147,7.55082,-0.188187,0
14391,-2.96864,-1.14403,6.32499,-0.198577,0
14396,-2.90852,-1.08391,11.0472,-0.204476,0
14401,-2.83381,-1.00919,14.8491,-0.209553,0
14406,-2.78109,-0.956478,11.19,-0.214059,0
14411,-2.71905,-0.894436,11.9383,-0.218708,0
14416,-2.66291,-0.838294,10.875,-0.223035,0
14422,-2.60799,-0.783381,10.1117,-0.22729,0
14427,-2.57141,-0.746794,6.3978,-0.23156,0
14433,-2.52357,-0.698953,9.06721,-0.235248,0
14437,-2.47314,-0.64853,10.971,-0.238229,0
14442,-2.43001,-0.605399,8.72747,-0.241221,0
14447,-2.38473,-0.560121,9.3333,-0.243938,0
14452,-2.36013,-0.535514,4.44987,-0.246899,0
14457,-2.32288,-0.498271,7.41333,-0.249402,0
14463,-2.27173,-0.447115,9.63301,-0.251777,0
14468,-2.25887,-0.43426,2.483,-0.254025,0
14473,-2.23171,-0.407101,5.4071,-0.25607,0
14478,-2.21978,-0.39517,2.53391,-0.25793,0
14483,-2.19564,-0.371032,4.6576,-0.259853,0
14489,-2.18599,-0.36138,1.69302,-0.261914,0
14493,-2.1672,-0.342584,3.83246,-0.263594,0
14499,-2.15213,-0.327516,2.84384,-0.265329,0
14504,-2.14087,-0.316256,2.07139,-0.267048,0
14509,-2.12095,-0.296332,3.83202,-0.268589,0
14515,-2.10529,-0.280675,2.92476,-0.270091,0
14520,-2.09296,-0.268348,2.38365,-0.271479,0
14525,-2.05716,-0.232548,7.08552,-0.272654,0
14530,-2.03879,-0.214173,3.90727,-0.273661,0
14535,-2.02888,-0.204268,1.90871,-0.274721,0
14540,-2.00777,-0.183155,4.10228,-0.275664,0
14545,-1.98762,-0.163008,3.70416,-0.276551,0
14551,-1.98251,-0.157894,0.961875,-0.27739,0
14556,-1.97058,-0.145965,2.34809,-0.278132,0
14561,-1.95865,-0.134035,2.39401,-0.2788,0
14565,-1.92998,-0.105363,6.3945,-0.279272,0
14570,-1.89044,-0.0658312,7.79883,-0.279606,0
14575,-1.88347,-0.0588552,1.41905,-0.279895,0
14580,-1.84107,-0.0164579,8.48962,-0.279977,0
14585,-1.84187,-0.0172544,-0.154529,-0.280066,0
14591,-1.83454,-0.00992727,1.37796,-0.280119,0
14596,-1.82768,-0.00306737,1.32463,-0.280135,0
14601,-1.81405,0.0105674,2.71013,-0.280082,0
14606,-1.79817,0.0264447,2.96956,-0.27994,0
14611,-1.77726,0.0473578,4.54524,-0.279722,0
14616,-1.77385,0.0507615,0.66159,-0.279461,0
14621,-1.78379,0.0408229,-1.90536,-0.279248,0
14626,-1.7592,0.0654085,4.83889,-0.278916,0
14631,-1.75718,0.0674307,0.440383,-0.278606,0
14636,-1.73357,0.0910385,4.58502,-0.278138,0
14641,-1.72655,0.0980594,1.44857,-0.277662,0
14646,-1.72161,0.103,1.04457,-0.277175,0
14651,-1.72293,0.101686,-0.24825,-0.276637,0
14656,-1.7183,0.106309,0.885409,-0.276082,0
14661,-1.7149,0.109713,0.655741,-0.275513,0
14667,-1.71971,0.1049,-0.870681,-0.274933,0
14672,-1.71166,0.112955,1.53657,-0.274341,0
14677,-1.70107,0.123544,2.22939,-0.273754,0
14682,-1.67982,0.144794,4.41727,-0.273057,0
14687,-1.67409,0.150522,1.08672,-0.272264,0
14692,-1.66302,0.161595,2.08804,-0.271407,0
14697,-1.68434,0.14027,-4.2076,-0.270696,0
14702,-1.70112,0.123496,-3.33436,-0.270075,0
14708,-1.702,0.12261,-0.174365,-0.269452,0
14713,-1.68219,0.142421,3.93656,-0.268735,0
14717,-1.67643,0.148184,1.16265,-0.268,0
14723,-1.67773,0.146883,-0.245136,-0.267221,0
14728,-1.66465,0.159966,2.46279,-0.266371,0
14734,-1.66985,0.154766,-0.960997,-0.265533,0
14739,-1.6725,0.152112,-0.490515,-0.26471,0
14744,-1.67312,0.151491,-0.118477,-0.263915,0
14750,-1.6681,0.156518,0.929854,-0.263069,0
14755,-1.67638,0.148236,-1.54915,-0.262277,0
14760,-1.7076,0.117017,-6.19452,-0.261687,0
14765,-1.70706,0.117548,0.11007,-0.261119,0
14769,-1.71558,0.109033,-1.88589,-0.260627,0
14774,-1.70691,0.117708,1.69738,-0.260025,0
14779,-1.72186,0.102756,-3.31617,-0.259562,0
